,book,author(s),original_language,first_published,approximate_sales,genre
0,A Tale of Two Cities,Charles Dickens,English,1859,200,Historical fiction
1,The Little Prince (Le Petit Prince),Antoine de Saint-Exupéry,French,1943,200,"Fantasy, Children's fiction"
2,Harry Potter and the Philosopher's Stone,J. K. Rowling,English,1997,120,"Fantasy, Children's fiction"
3,And Then There Were None,Agatha Christie,English,1939,100,Mystery
4,Dream of the Red Chamber (???),Cao Xueqin,Chinese,1791,100,Family saga
5,The Hobbit,J. R. R. Tolkien,English,1937,100,"Fantasy, Children's fiction"
6,She: A History of Adventure,H. Rider Haggard,English,1887,83,Adventure
7,Vardi Wala Gunda (????? ???? ?????),Ved Prakash Sharma,Hindi,1992,80,Detective
8,The Da Vinci Code,Dan Brown,English,2003,80,Mystery thriller
9,Harry Potter and the Chamber of Secrets,J. K. Rowling,English,1998,77,Fantasy
10,Harry Potter and the Prisoner of Azkaban,J. K. Rowling,English,1999,65,Fantasy
11,Harry Potter and the Goblet of Fire,J. K. Rowling,English,2000,65,Fantasy
12,Harry Potter and the Order of the Phoenix,J. K. Rowling,English,2003,65,Fantasy
13,Harry Potter and the Half-Blood Prince,J. K. Rowling,English,2005,65,Fantasy
14,Harry Potter and the Deathly Hallows,J. K. Rowling,English,2007,65,Fantasy
15,The Alchemist (O Alquimista),Paulo Coelho,Portuguese,1988,65,Fantasy
16,The Catcher in the Rye,J. D. Salinger,English,1951,65,Coming-of-age
17,The Bridges of Madison County,Robert James Waller,English,1992,60,Romance
18,One Hundred Years of Solitude (Cien años de soledad),Gabriel García Márquez,Spanish,1967,50,Magic realism
19,Lolita,Vladimir Nabokov,English,1955,50,Novel
20,Heidi,Johanna Spyri,German,1880,50,Children's fiction
21,The Common Sense Book of Baby and Child Care,Benjamin Spock,English,1946,50,Manual
22,Anne of Green Gables,Lucy Maud Montgomery,English,1908,50,Children's novel
23,Black Beauty,Anna Sewell,English,1877,50,Children's literature
24,The Name of the Rose (Il Nome della Rosa),Umberto Eco,Italian,1980,50,"Historical novel, mystery"
25,The Eagle Has Landed,Jack Higgins,English,1975,50,"War, thriller"
26,Watership Down,Richard Adams,English,1972,50,Fantasy
27,The Hite Report,Shere Hite,English,1976,50,Sexology
28,Charlotte's Web,E. B. White; illustrated by Garth Williams,English,1952,50,Children's fiction
29,The Ginger Man,J. P. Donleavy,English,1955,50,Novel
30,Where the Crawdads Sing,Delia Owens,English,2018,18,Coming-of-age Murder mystery
31,Matilda,Roald Dahl,English,1988,17,Children's Literature
32,The Book Thief,Markus Zusak,English,2005,16,Young Adult Fiction
33,The Horse Whisperer,Nicholas Evans,English,1995,16,Young Adult Fiction
34,Goodnight Moon,Margaret Wise Brown,English,1947,16,Children's Literature
35,The Neverending Story (Die unendliche Geschichte),Michael Ende,German,1979,16,Children's Literature
36,All the Light We Cannot See,Anthony Doerr,English,2014,15,"Historical fiction, war novel"
37,Fifty Shades of Grey,E. L. James,English,2011,15,Erotica
38,The Outsiders,S. E. Hinton,English,1967,15,Erotica
39,Guess How Much I Love You,Sam McBratney,English,1994,15,Erotica
40,Sh?gun,James Clavell,English,1975,15,Erotica
41,The Poky Little Puppy,Janette Sebring Lowrey,English,1942,15,Erotica
42,The Pillars of the Earth,Ken Follett,English,1989,15,Historical fiction
43,Perfume (Das Parfum),Patrick Süskind,German,1985,15,Historical fiction
44,The Grapes of Wrath,John Steinbeck,English,1939,15,Historical fiction
45,The Shadow of the Wind (La sombra del viento),Carlos Ruiz Zafón,Spanish,2001,15,Historical fiction
46,Interpreter of Maladies,Jhumpa Lahiri,English,2000,15,Historical fiction
47,Becoming,Michelle Obama,English,2018,14,Historical fiction
48,The Hitchhiker's Guide to the Galaxy,Douglas Adams,English,1979,14,Science fiction
49,Tuesdays with Morrie,Mitch Albom,English,1997,14,Science fiction
50,God's Little Acre,Erskine Caldwell,English,1933,14,Science fiction
51,Follow Your Heart (Va' dove ti porta il cuore),Susanna Tamaro,Italian,1994,14,Science fiction
52,A Wrinkle in Time,Madeleine L'Engle,English,1962,14,Science fiction
53,Long Walk to Freedom,Nelson Mandela,English,1994,14,Science fiction
54,The Old Man and the Sea,Ernest Hemingway,English,1952,13,Science fiction
55,Life After Life,Raymond Moody,English,1975,13,Science fiction
56,The Tale of Peter Rabbit,Beatrix Potter,English,1902,45,Children's Literature
57,Jonathan Livingston Seagull,Richard Bach,English,1970,44,"Novella, Self-help"
58,The Very Hungry Caterpillar,Eric Carle,English,1969,43,"Children's Literature, picture book"
59,A Message to Garcia,Elbert Hubbard,English,1899,40,Essay/Literature
60,To Kill a Mockingbird,Harper Lee,English,1960,40,"Southern Gothic, Bildungsroman"
61,Flowers in the Attic,V. C. Andrews,English,1979,40,"Gothic horror, Family saga"
62,Cosmos,Carl Sagan,English,1980,40,"Popular science, Anthropology, Astrophysics, Cosmology, Philosophy, History"
63,Sophie's World (Sofies verden),Jostein Gaarder,Norwegian,1991,40,"Philosophical novel, Young adult"
64,Angels & Demons,Dan Brown,English,2000,39,Mystery-thriller
65,Kane and Abel,Jeffrey Archer,English,1979,37,Novel
66,How the Steel Was Tempered (??? ?????????? ?????),Nikolai Ostrovsky,Russian,1932,36,Socialist realist novel
67,War and Peace (????? ? ???),Leo Tolstoy,Russian,1869,36,Historical novel
68,The Adventures of Pinocchio (Le avventure di Pinocchio),Carlo Collodi,Italian,1881,35,"Fantasy, Children's fiction"
69,The Diary of Anne Frank (Het Achterhuis),Anne Frank,Dutch,1947,35,"Historical non-fiction, Autobiography, Memoir, Bildungsroman / Coming of Age, Jewish literature"
70,Your Erroneous Zones,Wayne Dyer,English,1976,35,Self-help
71,The Thorn Birds,Colleen McCullough,English,1977,33,Romantic family saga
72,The Kite Runner,Khaled Hosseini,English,2003,31,"Bildungsroman, Historical fiction"
73,Valley of the Dolls,Jacqueline Susann,English,1966,31,Novel
74,How to Win Friends and Influence People,Dale Carnegie,English,1936,30,Self-help
75,The Great Gatsby,F. Scott Fitzgerald,English,1925,30,"Novel, tragedy"
76,Gone with the Wind,Margaret Mitchell,English,1936,30,Historical fiction
77,Rebecca,Daphne du Maurier,English,1938,30,Gothic novel
78,The Revolt of Mamie Stover,William Bradford Huie,English,1951,30,Fiction
79,The Girl with the Dragon Tattoo (Män som hatar kvinnor),Stieg Larsson,Swedish,2005,30,Fiction
80,The Lost Symbol,Dan Brown,English,2009,30,Fiction
81,The Hunger Games,Suzanne Collins,English,2008,29,Young adult fiction
82,James and the Giant Peach,Roald Dahl,English,1961,28,Children's novel
83,The Young Guard (??????? ???????),Alexander Alexandrovich Fadeyev,Russian,1945,26,Young adult historical novel
84,Who Moved My Cheese?,Spencer Johnson,English,1998,28,"Self-help, motivational, business fable, psychology, leadership, parable"
85,A Brief History of Time,Stephen Hawking,English,1988,25,Popular science
86,Paul et Virginie,Jacques-Henri Bernardin de Saint-Pierre,French,1788,25,Novel
87,Lust for Life,Irving Stone,English,1934,25,Biographical novel
88,The Wind in the Willows,Kenneth Grahame,English,1908,25,Children's literature
89,The 7 Habits of Highly Effective People,Stephen R. Covey,English,1989,25,Self-help
90,Totto-Chan: The Little Girl at the Window (??????????),Tetsuko Kuroyanagi,Japanese,1981,25,Autobiographical novel
91,Virgin Soil Upturned (???????? ??????),Mikhail Sholokhov,Russian,1935,24,Novel
92,The Celestine Prophecy,James Redfield,English,1993,23,New-age spiritual novel
93,The Fault in Our Stars,John Green,English,2012,23,Young adult romantic novel
94,The Girl on the Train,Paula Hawkins,English,2015,23,Thriller
95,The Shack,William P. Young,English,2007,22,Novel
96,Uncle Styopa (???? ?????),Sergey Mikhalkov,Russian,1936,21,"Children's Literature, picture book"
97,The Godfather,Mario Puzo,English,1969,21,Crime novel
98,Love Story,Erich Segal,English,1970,21,Romance novel
99,Catching Fire,Suzanne Collins,English,2009,21,"Young Adult novel, adventure, dystopian, science fiction"
100,Mockingjay,Suzanne Collins,English,2010,20,"Young Adult novel, adventure, war, science fiction, action thriller"
101,Kitchen (????),Banana Yoshimoto,Japanese,1988,20,Japanese novel
102,Andromeda Nebula (?????????? ?????????),Ivan Yefremov,Russian,1957,20,Science fiction novel
103,Gone Girl,Gillian Flynn,English,2012,20,Crime thriller novel
104,The Bermuda Triangle,Charles Berlitz,English,1974,20,Crime thriller novel
105,Things Fall Apart,Chinua Achebe,English,1958,20,Novel
106,Wolf Totem (???),Jiang Rong,Chinese,2004,20,Semi-autobiographical novel
107,The Happy Hooker: My Own Story,Xaviera Hollander,English,1971,20,Memoir
108,Jaws,Peter Benchley,English,1974,20,Thriller
109,Love You Forever,Robert Munsch,English,1986,20,"Children's literature, picture book, fiction"
110,The Women's Room,Marilyn French,English,1977,20,Feminist novel
111,What to Expect When You're Expecting,Arlene Eisenberg and Heidi Murkoff,English,1984,20,Pregnancy guide
112,Adventures of Huckleberry Finn,Mark Twain,English,1885,20,"Picaresque novel, Bildungsroman, satire, Robinsonade"
113,"The Secret Diary of Adrian Mole, Aged 13¾",Sue Townsend,English,1982,20,Young adult novel
114,Pride and Prejudice,Jane Austen,English,1813,20,"Classic regency novel, romance"
115,Kon-Tiki: Across the Pacific in a Raft (Kon-Tiki ekspedisjonen),Thor Heyerdahl,Norwegian,1950,20,Travel literature
116,The Good Soldier vejk (Osudy dobrého vojáka vejka za sv?tové války),Jaroslav Haek,Czech,1923,20,Unfinished satirical dark comedy novel
117,Where the Wild Things Are,Maurice Sendak,English,1963,20,Children's picture book
118,The Power of Positive Thinking,Norman Vincent Peale,English,1952,20,Self-help
119,The Secret,Rhonda Byrne,English,2006,20,Self-help
120,Fear of Flying,Erica Jong,English,1973,20,Romantic novel
121,Dune,Frank Herbert,English,1965,20,Science fiction novel
122,Charlie and the Chocolate Factory,Roald Dahl,English,1964,20,Children's fantasy novel
123,The Naked Ape,Desmond Morris,English,1968,20,"Social Science, Anthropology, Psychology"
150,Momo,Michael Ende,German,1973,13,Children's Literature
151,Peyton Place,Grace Metalious,English,1956,12,Children's Literature
152,The Giver,Lois Lowry,English,1993,12,Dystopian fiction
153,Me Before You,Jojo Moyes,English,2012,12,Dystopian fiction
154,Norwegian Wood (???????),Haruki Murakami,Japanese,1987,12,Dystopian fiction
155,The Plague (La Peste),Albert Camus,French,1947,12,Dystopian fiction
156,No Longer Human (????),Osamu Dazai,Japanese,1948,12,Dystopian fiction
157,Man's Search for Meaning (Ein Psychologe erlebt das Konzentrationslager),Viktor Frankl,German,1946,12,Dystopian fiction
158,The Divine Comedy (La Divina Commedia),Dante Alighieri,Italian,1304,11,Dystopian fiction
159,The Prophet,Kahlil Gibran,English,1923,11,Dystopian fiction
160,The Boy in the Striped Pyjamas,John Boyne,English,2006,11,Dystopian fiction
161,The Exorcist,William Peter Blatty,English,1971,11,Horror
162,The Gruffalo,Julia Donaldson,English,1999,10,Horror
163,Fifty Shades Darker,E. L. James,English,2012,10,Erotica
164,Tobacco Road,Erskine Caldwell,English,1932,10,Erotica
165,"Ronia, the Robber's Daughter",Astrid Lindgren,Swedish,1981,10,Erotica
166,The Cat in the Hat,Dr. Seuss,English,1957,10,Erotica
167,Diana: Her True Story,Andrew Morton,English,1992,10,Erotica
168,The Help,Kathryn Stockett,English,2009,10,Erotica
169,Catch-22,Joseph Heller,English,1961,10,Erotica
170,The Stranger (L'Étranger),Albert Camus,French,1942,10,Erotica
171,Eye of the Needle,Ken Follett,English,1978,10,Erotica
172,The Lovely Bones,Alice Sebold,English,2002,10,Erotica
173,Wild Swans,Jung Chang,English,1992,10,Erotica
174,Santa Evita,Tomás Eloy Martínez,Spanish,1995,10,Erotica
175,Night (Un di Velt Hot Geshvign),Elie Wiesel,Yiddish,1958,10,Erotica
176,Confucius from the Heart (????????),Yu Dan,Chinese,2006,10,Erotica
177,The Total Woman,Marabel Morgan,English,1974,10,Erotica
178,Knowledge-value Revolution (????),Taichi Sakaiya,Japanese,1985,10,Erotica
179,Problems in China's Socialist Economy (????????????),Xue Muqiao,Chinese,1979,10,Erotica
180,What Color Is Your Parachute?,Richard Nelson Bolles,English,1970,10,Erotica
181,The Dukan Diet,Pierre Dukan,French,2000,10,Erotica
182,The Joy of Sex,Alex Comfort,English,1972,10,Erotica
183,The Gospel According to Peanuts,Robert L. Short,English,1965,10,Erotica
184,The Subtle Art of Not Giving a Fuck,Mark Manson,English,2016,10,Erotica
185,Life of Pi,Yann Martel,English,2001,10,Erotica
186,The Front Runner,Patricia Nell Warren,English,1974,10,Erotica
187,The Goal,Eliyahu M. Goldratt,English,1984,10,Erotica
188,Fahrenheit 451,Ray Bradbury,English,1953,10,Erotica
189,Angela's Ashes,Frank McCourt,English,1996,10,Erotica
190,The Story of My Experiments with Truth (?????? ??????? ???? ???????),Mohandas Karamchand Gandhi,Gujarati,19251929,10,Erotica
191,Bridget Jones's Diary,Helen Fielding,English,1996,10,Erotica
260,World Almanac (published every year),Various authors,English,186876; 1886present,82,Erotica
261,Betty Crocker Cookbook,General Mills staff,English,19502016 (12th edition),75,Erotica
262,Tung Shing (Chinese: ??),"Choi Park Lai's family, among others",Chinese,1891(Only counting versions published by Choi's family),70,Erotica
263,Merriam-Webster's Collegiate Dictionary,Merriam-Webster,English,1898,55,Erotica
